Time,SpineBase_x,SpineBase_y,SpineBase_z,SpineMid_x,SpineMid_y,SpineMid_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,SpineShoulder_x,SpineShoulder_y,SpineShoulder_z,HandTipLeft_x,HandTipLeft_y,HandTipLeft_z,ThumbLeft_x,ThumbLeft_y,ThumbLeft_z,HandTipRight_x,HandTipRight_y,HandTipRight_z,ThumbRight_x,ThumbRight_y,ThumbRight_z
1.3345,-0.1259,0.1992,3.5037,-0.1400,0.5017,3.3941,-0.1532,0.7952,3.2705,-0.1619,0.8651,3.2108,-0.3191,0.6928,3.3767,-0.3846,0.4315,3.4989,-0.4076,0.2082,3.4806,-0.4066,0.1231,3.4631,0.0173,0.7059,3.3790,0.1062,0.4576,3.4819,0.1511,0.2153,3.4178,0.1369,0.1517,3.3997,-0.2019,0.1924,3.4612,-0.1879,-0.2309,3.4441,-0.1237,-0.5721,3.4899,-0.1820,-0.6077,3.3318,-0.0476,0.2009,3.4650,-0.0039,-0.1791,3.2967,0.0015,-0.5504,3.4630,0.0277,-0.5879,3.2939,-0.1500,0.7231,3.3039,-0.3884,0.0513,3.4709,-0.3725,0.1205,3.4471,0.1351,0.0907,3.3886,0.1665,0.1491,3.3796
1.4001,-0.1320,0.2006,3.5039,-0.1458,0.5016,3.3919,-0.1596,0.7939,3.2658,-0.1672,0.8624,3.2058,-0.3237,0.6908,3.3684,-0.3937,0.4243,3.4786,-0.4141,0.1925,3.4439,-0.4088,0.1144,3.4253,0.0116,0.7079,3.3774,0.1018,0.4625,3.4834,0.1456,0.2198,3.4182,0.1302,0.1602,3.3997,-0.2094,0.1923,3.4617,-0.1876,-0.2361,3.4458,-0.1255,-0.5717,3.4878,-0.1846,-0.6064,3.3298,-0.0524,0.2039,3.4651,-0.0152,-0.1680,3.2800,0.0001,-0.5104,3.3992,0.0630,-0.5651,3.2511,-0.1562,0.7222,3.2999,-0.3955,0.0500,3.4359,-0.3834,0.0463,3.4320,0.1291,0.0955,3.3951,0.1572,0.1536,3.3775
1.4669,-0.1438,0.2017,3.4999,-0.1517,0.5019,3.3882,-0.1613,0.7937,3.2626,-0.1685,0.8622,3.2024,-0.3254,0.6878,3.3591,-0.3958,0.4238,3.4608,-0.4206,0.2035,3.4168,-0.4044,0.1238,3.3832,0.0094,0.7090,3.3751,0.0956,0.4683,3.4839,0.1420,0.2220,3.4187,0.1265,0.1623,3.4049,-0.2206,0.1950,3.4568,-0.1801,-0.2386,3.4418,-0.1236,-0.5766,3.4777,-0.2026,-0.6002,3.3284,-0.0641,0.2036,3.4620,-0.0243,-0.1695,3.2542,0.0180,-0.5550,3.2538,0.0277,-0.6138,3.1356,-0.1588,0.7221,3.2966,-0.3903,0.0577,3.3870,-0.3718,0.1231,3.3722,0.1280,0.1025,3.3986,0.1579,0.1460,3.3922
1.5338,-0.1451,0.2030,3.4976,-0.1536,0.5021,3.3810,-0.1622,0.7917,3.2489,-0.1669,0.8593,3.1880,-0.3271,0.6875,3.3436,-0.4014,0.4296,3.4247,-0.4070,0.2013,3.3595,-0.3923,0.1244,3.3310,0.0085,0.7110,3.3712,0.0940,0.4684,3.4820,0.1398,0.2230,3.4187,0.1217,0.1575,3.3999,-0.2224,0.1969,3.4541,-0.1774,-0.2329,3.4391,-0.1210,-0.5896,3.4726,-0.1992,-0.6142,3.3231,-0.0648,0.2044,3.4602,-0.0287,-0.1760,3.2127,-0.0087,-0.4989,3.2344,0.0126,-0.5980,3.1383,-0.1601,0.7207,3.2845,-0.3799,0.0650,3.3242,-0.3675,0.0953,3.3281,0.1195,0.0947,3.3984,0.1539,0.1493,3.3952
1.6007,-0.1472,0.2034,3.4912,-0.1548,0.5022,3.3729,-0.1614,0.7921,3.2396,-0.1646,0.8604,3.1793,-0.3267,0.6839,3.3294,-0.4016,0.4311,3.4029,-0.3940,0.1993,3.3179,-0.3776,0.1305,3.2893,0.0084,0.7111,3.3629,0.0918,0.4674,3.4740,0.1375,0.2222,3.4161,0.1203,0.1558,3.3921,-0.2250,0.1976,3.4476,-0.1799,-0.2294,3.4384,-0.1224,-0.5945,3.4695,-0.1984,-0.6166,3.3179,-0.0661,0.2045,3.4538,-0.0294,-0.1832,3.1992,-0.0119,-0.5110,3.2212,0.0128,-0.6094,3.0953,-0.1600,0.7209,3.2755,-0.3597,0.0699,3.2832,-0.3463,0.1264,3.2675,0.1149,0.0916,3.3817,0.1477,0.1420,3.3760
1.6679,-0.1496,0.2010,3.4776,-0.1541,0.5006,3.3526,-0.1573,0.7919,3.2138,-0.1562,0.8586,3.1521,-0.3246,0.6787,3.3131,-0.3992,0.4329,3.3735,-0.3802,0.2010,3.2730,-0.3624,0.1350,3.2410,0.0114,0.7096,3.3472,0.0899,0.4602,3.4547,0.1359,0.2229,3.4050,0.1225,0.1528,3.3748,-0.2272,0.1953,3.4331,-0.1828,-0.2304,3.4356,-0.1259,-0.5956,3.4685,-0.2029,-0.6166,3.3172,-0.0685,0.2021,3.4411,-0.0291,-0.1713,3.1858,-0.0156,-0.5236,3.2112,-0.0036,-0.6157,3.1016,-0.1567,0.7204,3.2510,-0.3389,0.0753,3.2314,-0.3217,0.1239,3.2347,0.1179,0.0885,3.3632,0.1531,0.1459,3.3622
1.7343,-0.1478,0.1995,3.4579,-0.1501,0.4981,3.3347,-0.1515,0.7884,3.1982,-0.1499,0.8541,3.1366,-0.3172,0.6799,3.2823,-0.3934,0.4333,3.3383,-0.3749,0.2044,3.2292,-0.3535,0.1420,3.1952,0.0190,0.7059,3.3217,0.0926,0.4553,3.4301,0.1385,0.2066,3.3656,0.1283,0.1403,3.3476,-0.2254,0.1941,3.4136,-0.1890,-0.2372,3.4254,-0.1284,-0.5937,3.4680,-0.2031,-0.6167,3.3157,-0.0668,0.2003,3.4212,-0.0284,-0.1651,3.1850,-0.0188,-0.5236,3.2109,-0.0016,-0.6146,3.1008,-0.1513,0.7171,3.2348,-0.3278,0.0873,3.1851,-0.3130,0.1292,3.1835,0.1246,0.0779,3.3365,0.1537,0.1086,3.3321
1.8002,-0.1453,0.1973,3.4344,-0.1446,0.4971,3.3107,-0.1418,0.7886,3.1722,-0.1396,0.8553,3.1109,-0.3111,0.6776,3.2591,-0.3886,0.4371,3.3000,-0.3713,0.2128,3.1687,-0.3518,0.1509,3.1395,0.0267,0.7018,3.3017,0.0985,0.4512,3.4007,0.1473,0.2078,3.3359,0.1422,0.1352,3.3094,-0.2229,0.1925,3.3881,-0.1909,-0.2427,3.4097,-0.1305,-0.5835,3.4590,-0.2078,-0.6142,3.3107,-0.0642,0.1977,3.3998,-0.0302,-0.1683,3.1825,-0.0216,-0.5220,3.2112,0.0007,-0.6130,3.1004,-0.1428,0.7170,3.2095,-0.3271,0.0963,3.1284,-0.3195,0.1534,3.1181,0.1371,0.0703,3.3059,0.1719,0.1291,3.2872
1.8669,-0.1448,0.1940,3.4096,-0.1375,0.4947,3.2846,-0.1294,0.7869,3.1458,-0.1212,0.8533,3.0834,-0.2990,0.6781,3.2309,-0.3915,0.4476,3.2618,-0.3857,0.2392,3.1220,-0.3655,0.1680,3.0830,0.0349,0.6962,3.2796,0.1127,0.4544,3.3565,0.1745,0.1969,3.2721,0.1637,0.1289,3.2519,-0.2207,0.1915,3.3622,-0.1879,-0.2436,3.3850,-0.1262,-0.5843,3.4510,-0.2093,-0.6154,3.3071,-0.0654,0.1920,3.3760,-0.0312,-0.1695,3.1644,-0.0229,-0.5207,3.2119,0.0007,-0.6134,3.1011,-0.1315,0.7152,3.1830,-0.3386,0.1166,3.0684,-0.3149,0.1433,3.0698,0.1586,0.0638,3.2458,0.1910,0.1300,3.2266
1.9339,-0.1393,0.1960,3.3890,-0.1294,0.4950,3.2636,-0.1190,0.7855,3.1249,-0.1076,0.8534,3.0641,-0.2868,0.6854,3.2022,-0.4009,0.4655,3.2261,-0.4084,0.2733,3.0735,-0.3958,0.2037,3.0289,0.0456,0.6947,3.2513,0.1324,0.4582,3.3225,0.2032,0.2032,3.2159,0.1962,0.1332,3.1834,-0.2167,0.1940,3.3416,-0.1886,-0.2407,3.3632,-0.1287,-0.5951,3.4467,-0.2099,-0.6216,3.3000,-0.0586,0.1933,3.3554,-0.0309,-0.1742,3.1473,-0.0291,-0.5236,3.2186,-0.0012,-0.6142,3.1024,-0.1217,0.7142,3.1620,-0.3711,0.1519,3.0116,-0.3508,0.1698,3.0099,0.1927,0.0761,3.1791,0.2065,0.1524,3.1465
